threshold,total_return,annual_return,annual_vol,sharpe,max_drawdown,n_trades,pct_in_market,accuracy,total_cost
0.5,-0.7870612860835382,-0.10261702921794069,0.2829992605880721,-0.3626052909279785,-0.8318026653651979,647.0,0.9997222222222222,0.5023617671575438,0.6465000000000001
0.55,-0.6290972965715282,-0.06707184500982466,0.26470562153971816,-0.2533827752493,-0.8314493340673492,945.0,0.9,0.5040123456790123,0.6695
0.6,-0.5778081417335739,-0.05857508074859852,0.25521376943817575,-0.2295137949552837,-0.7853583222234608,1091.0,0.8336111111111111,0.5054981672775741,0.6835
0.65,-0.5058643578751751,-0.04814842543848086,0.23863303726248108,-0.20176764286631724,-0.7315593412435603,1122.0,0.7269444444444444,0.5047764615972488,0.6425000000000001
0.7,-0.2938698575220676,-0.024062664878313433,0.22897219682633052,-0.1050898983013398,-0.6671800646820838,1103.0,0.6491666666666667,0.5091998288403937,0.6095
0.75,-0.1552468736286874,-0.01174029816999167,0.20327290897253453,-0.05775633471934017,-0.47249832939898617,1078.0,0.5405555555555556,0.513874614594039,0.5745
0.8,-0.1224370553426366,-0.009100796377605636,0.1862057075306553,-0.04887495930331437,-0.477536137641982,1005.0,0.46416666666666667,0.5170556552962298,0.5265
0.85,-0.21447506001509697,-0.016756240985576043,0.16301056697513003,-0.10279236062121351,-0.49082204588761125,853.0,0.3472222222222222,0.5112,0.44
0.9,-0.1383118224427763,-0.010366223650894013,0.1447814453952597,-0.07159911701802513,-0.5065916524561411,721.0,0.27944444444444444,0.5198807157057654,0.36900000000000005
0.95,-0.13583395413461108,-0.010167284342909255,0.11651890090042429,-0.08725867017573484,-0.46236168964198676,514.0,0.16055555555555556,0.5259515570934256,0.258
1.0,-0.18778079138392112,-0.014453481906573251,0.0765142656699823,-0.18889917821224766,-0.2355948374610387,320.0,0.07416666666666667,0.5243445692883895,0.16000000000000003
